rank_test_f1,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_train_accuracy,std_train_accuracy,mean_train_f1,std_train_f1,mean_train_recall,std_train_recall,mean_train_precision,std_train_precision,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_f1,std_test_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_test_precision,std_test_precision,rank_test_precision
1,5.201702022552491,1.9046248506638839,0.07799768447875977,0.019200168526654626,"{'LR__class_weight': 'balanced', 'LR__C': 26.737373737373737}",0.8602200303490136,0.0012417624472399504,0.587166279551499,0.002407289806376925,0.8852027027027027,0.0023542231608357105,0.43927393644846563,0.0024496648517631134,0.8593323216995448,0.005398372126096324,7,0.5846696723053217,0.01055436541603576,0.8813513513513515,0.014387926112655313,1,0.43751744801173426,0.010361779614771484,7
1,5.122595930099488,0.8949591739390209,0.05100493431091309,0.018541414610734896,"{'LR__class_weight': 'balanced', 'LR__C': 41.09090909090909}",0.8601820940819422,0.001243152428400354,0.5871005326148511,0.0024211282291186935,0.8852027027027027,0.0022953091556031043,0.4392002028656326,0.002454669123075377,0.8593323216995448,0.005398372126096324,7,0.5846696723053217,0.01055436541603576,0.8813513513513515,0.014387926112655313,1,0.43751744801173426,0.010361779614771484,7
1,4.355697917938232,0.5095198007248002,0.046999359130859376,0.011901802769721564,"{'LR__class_weight': 'balanced', 'LR__C': 40.101010101010104}",0.8601820940819422,0.0012380482014347337,0.5871004720999542,0.0024107355941942223,0.8852027027027027,0.0022953091556031043,0.4392001154268062,0.0024443153388794938,0.8593323216995448,0.005398372126096324,7,0.5846696723053217,0.01055436541603576,0.8813513513513515,0.014387926112655313,1,0.43751744801173426,0.010361779614771484,7
4,5.274298524856567,0.8419084502781514,0.09239931106567383,0.03378216251646805,"{'LR__class_weight': 'balanced', 'LR__C': 13.373737373737374}",0.8601896813353566,0.0011775163084094692,0.5871128907513745,0.0022858427192909525,0.8852027027027027,0.0023542231608357105,0.43921386654965283,0.0023207295951779253,0.8592716236722306,0.005352623110907125,10,0.584562189281829,0.010505086642343878,0.8813513513513515,0.014387926112655313,1,0.4373950466391762,0.010275347736881846,10
5,11.260602760314942,0.9669994491468845,0.08009848594665528,0.013825870188111251,"{'LR__class_weight': None, 'LR__C': 9.90909090909091}",0.9111153262518968,0.0006361539853187849,0.5167943620809621,0.004582364166108966,0.4233108108108108,0.005114646180479874,0.6633126532757153,0.004056149946758697,0.9106525037936267,0.00134839817247485,3,0.5159197778207152,0.005919190077979335,0.42405405405405405,0.008857280869283226,5,0.6591035955234511,0.013392928246763115,1
6,6.19909896850586,1.294525445864092,0.07340011596679688,0.010818377204567345,"{'LR__class_weight': None, 'LR__C': 32.18181818181819}",0.9111305007587254,0.0006148016564456116,0.5168352642704945,0.00464934720559788,0.4233108108108108,0.005290156521909008,0.663450434431366,0.0037505705946853474,0.9106525037936268,0.001296155174753454,1,0.5159082007972726,0.006254911436062509,0.42405405405405405,0.00957077362682475,5,0.6591014515344895,0.013042268897690605,2
6,6.601100921630859,1.850189861188425,0.06499733924865722,0.013783067347288966,"{'LR__class_weight': None, 'LR__C': 45.05050505050505}",0.9111153262518968,0.0006270395602851303,0.5167533098161969,0.004651021287944592,0.42324324324324325,0.005248569320523889,0.6633452431173226,0.0038862740457485593,0.9106525037936268,0.001296155174753454,1,0.5159082007972726,0.006254911436062509,0.42405405405405405,0.00957077362682475,5,0.6591014515344895,0.013042268897690605,2
8,8.058302783966065,2.216934161680983,0.0390963077545166,0.015834032966525798,"{'LR__class_weight': None, 'LR__C': 13.868686868686869}",0.9111229135053112,0.0006313397287622261,0.5168146860500019,0.004648249587315879,0.4233108108108108,0.005233761278658653,0.6633814998324695,0.003945391663411607,0.9106221547799697,0.0013436081105419565,4,0.5156694360620222,0.006266678824916972,0.4237837837837838,0.009307662355525721,8,0.6589570796704358,0.013288841403806512,4
9,7.6340012550354,1.2975791544213173,0.08759775161743164,0.024206824634281844,"{'LR__class_weight': None, 'LR__C': 37.62626262626263}",0.9111153262518968,0.0006279569558895047,0.5167936290442492,0.004638035742993413,0.4233108108108108,0.005189963343154453,0.663308852237009,0.003844675258900293,0.9106221547799697,0.0013159018748819045,4,0.5156647792772553,0.006350823138791607,0.4237837837837838,0.00957840278198344,8,0.6589565252484844,0.013130191313563563,5
10,9.876400899887084,1.089003205970679,0.08450078964233398,0.02204827620239672,"{'LR__class_weight': None, 'LR__C': 5.454545454545455}",0.9110849772382398,0.000629970523661518,0.5165496175831,0.004556779509982919,0.4230405405405405,0.005098553913490128,0.6631701364015096,0.004014804961474514,0.9105614567526554,0.0012825824952422075,6,0.5151810212319651,0.0058359011852739985,0.42324324324324325,0.009141370013669072,10,0.6586763338124887,0.013068403334728466,6
